	01_St1_D1	02_St1_D15	03_St1_D45	04_St2_D1	05_St2_D15	06_St2_D45	07_St3_D1	08_St3_D15	09_St3_D45	10_St4_D1	11_St4_D15	12_St4_D45	13_St5_D1	14_St5_D15	15_St5_D45	16_St6_D1	17_St6_D15	18_St6_D45	19_St7_D1	20_St7_D15	21_St7_D45	22_St8_D1	23_St8_D15	24_St8_D45	25_St9_D1	26_St10_D1	27_St10_D15	28_St10_D45	29_St11_D1	30_St11_D15	31_St11_D45	32_St12_D1	33_St12_D15	34_St12_D45	35_St13_D1	36_St13_D15	37_St13_D45	38_St14_D1	39_St14_D15	40_St14_D45	41_St15_D1	42_St15_D15	43_St15_D45	44_St16_D1	45_St16_D15	46_St16_D45	47_St17_D1	48_St17_D15	49_St17_D45	50_St18_D1	51_St18_D15	52_St18_D45	53_St19_D1	54_St19_D15	55_St19_D45	56_St20_D1	57_St20_D15	58_St20_D45	59_St21_D1	60_St21_D15	61_St21_D45	62_St22_D1	63_St22_D15	64_St22_D45
ASV15	292	7993	2748	254	4246	1354	854	9432	2960	928	9404	2257	11620	13353	5977	8781	11579	12296	16962	14558	5287	12534	10409	2103	3002	4133	5271	2884	5443	4712	2073	3071	3513	3082	4320	4000	5114	5196	6509	5110	4312	2912	5738	11924	9203	3439	404	1490	506	3283	1861	2745	3582	1818	3675	750	1957	1878	2178	3506	4367	13633	38531	7224
ASV16	480	1528	54	154	1728	161	344	2365	163	489	1219	304	9730	3475	920	8424	12535	1922	3435	3179	821	18156	9586	1875	3152	3863	6902	2155	20372	18240	4741	36690	24119	8808	14548	51986	6916	1566	10308	1279	7389	5428	547	10018	17547	955	140	6	3	1659	12	165	736	197	316	1118	1835	44	4945	1825	2828	38	46	44
ASV17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2352	2546	2958	7283	14341	17523	11279	10131	12535	29161	21433	28949	10650	17573	11017	2696	0	0	0	3900	259	278	0	0	14	0	4	4043	0	0	15387	0	168	3630	65	3750	10982	17636	28523	2056
ASV18	2666	4253	10179	2292	4847	3669	2481	3080	3547	5605	8942	8769	3206	3303	2357	2335	3074	3659	3102	2641	3053	4412	4623	4617	7997	9599	8919	4755	7402	7725	3872	5910	7578	3569	5805	3742	2301	5294	3869	2521	1887	1041	819	3818	2378	2608	7616	6295	6591	2141	7219	3607	2529	7133	3685	2068	7026	2852	3660	5523	2739	1268	2577	7217
ASV19	165	2782	4632	311	2663	2020	559	3474	2303	615	2521	2175	4837	5429	1813	4261	4949	3107	5196	4433	1922	1731	871	893	7291	4977	4502	2444	7433	5406	1895	6225	10562	3808	9577	5242	2718	9491	5172	1378	760	224	149	2780	1142	553	6409	3417	9535	13051	2391	2518	7014	2330	4910	2477	2968	2286	2568	3458	3008	3495	4985	7753
ASV20	4	162	2228	3	90	1507	0	114	1329	3	143	2541	39	61	295	19	181	456	42	87	500	113	174	1790	8473	4412	6461	13828	1305	4556	15636	1184	1483	21408	1022	2600	12564	867	1154	2722	892	2174	7851	488	552	3125	2898	4735	6751	22	4033	12665	130	4152	31392	5	3524	8619	348	7510	10722	2	27	5232
ASV21	16106	3048	2372	29606	3277	1165	18809	3593	1995	19205	7547	1830	5535	6589	2353	3649	4505	2825	5766	4675	1416	1447	1230	444	511	891	924	388	801	700	322	697	1077	556	912	727	612	778	1131	743	676	124	53	1565	1128	546	221	284	101	10021	369	371	6957	538	554	4380	1526	364	4130	1970	760	7654	6809	1159
ASV22	36	1352	3685	51	569	951	122	1166	1557	108	1139	1356	1672	1939	2736	1472	3084	3671	1830	1683	2335	4913	7034	3305	11759	5433	5418	6966	9686	7107	5018	6132	7990	4828	6776	3474	1430	5879	3137	1900	1506	645	327	3194	1746	1579	279	1256	799	354	1933	3512	448	2101	4138	153	1997	2491	687	2857	2004	11205	14683	1572
ASV23	44293	24629	5075	28272	34261	3287	19896	3952	1641	23984	3545	2672	965	17	2	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	4	0	0	4	0	0	5	19	0	10	15	30	0	0	0	0
ASV24	12189	2044	867	21291	2152	628	13754	1234	435	7850	801	1067	4420	1549	175	5169	3873	1057	3317	861	403	1439	721	423	408	1020	1352	10	2043	2654	22	2693	2654	768	1568	2356	597	735	1371	427	509	324	12	1875	2174	256	28356	161	129	6938	278	2156	5394	465	5155	13799	2297	1033	3895	4109	838	19	15	23
