Cruise,Date,Area,StationID,CTD,Depth,ID_sample,Latitude,Longitude,Water_mass,Temp,Salinity,O2_sat,AOU,Fluorescence_Chla,Fluoresence_fDOM,PAR,TA,DIC,pH,pCO2,NO3,NO3_NO2,SiO2,NO2 ,PO4,Si*,NO3*,PO4* ,DOC,TDN,DON,Chla,BIX,b,t,a,m,c,FI,HIX,B_A,a254,a300,a350,E2_E3 ,E4_E6,S275_295,S350_400,S300_700,SR ,SUVA254,C1,C2,C3,C4,r_C1,r_C2,r_C3,r_C4,BA,Nanoplankton,Picoplankton
Augmentum01,2025-08-17T09:57:00,Sermilik,4,4,15,St4_15,65.757,-37.97616667,MW,2.56,29.788,109.7037044,-32.91973991,0.35,2.756,14.434,2092.101076,1940.890786,8.171970423,264.4541109,0.1183,0.137,0.534,0.0187,0.232,0.389440204,-0.60692375,3.50692375,91.35,4.47,4.33,0.35,0.719401307,0.015440663,0.010547127,0.197983939,0.091305884,0.083521633,1.851363202,0.973138497,0.461178235,2.482457776,1.035559934,0.437585253,4.99770241,1.720392567,0.024136707,0.010934934,0.013517543,2.207302586,3.263753275,0.150304499,0.045059162,0.050219303,0.061483648,0.489484995,0.146740675,0.163545306,0.200229024,2.92E+05,7.86E+02,3.39E+03
Augmentum01,2025-08-17T09:57:00,Sermilik,4,4,45,St4_45,65.757,-37.97616667,MW,0.29,31.234,103.1770344,-11.2964478,0.28,2.861,0.557,2154.253689,2020.8493,8.130967285,295.950312,3.6893,3.752,3.988,0.0627,0.469,0.231258754,-0.776622224,3.676622224,62.63,7.17,3.42,0.28,0.680113913,0.026152584,0.014986422,0.250062919,0.127587407,0.122027911,1.543286545,0.962455209,0.510221215,2.366455183,1.061853272,0.569725862,4.22764902,0.992289512,0.022342885,0.008302877,0.00858386,2.690981024,4.538083854,0.196108714,0.060613443,0.021953774,0.06186526,0.575873695,0.177991516,0.064467308,0.18166748,2.18E+05,2.08E+03,1.80E+04
Augmentum01,2025-08-18T09:21:00,Sermilik,5,5,1,St5_1,65.6995,-38.01516667,MW,4.85,29.226,106.6235471,-21.3314922,0.27,2.618,83.046,2068.026288,1916.857388,8.146304936,283.2209924,0.112,0.131,0.789,0.019,0.278,0.645738331,-1.336553758,4.236553758,86.16,6.42,6.29,0.27,0.516784777,0.082681904,0.043443066,0.455639998,0.248968107,0.748067775,2.584763655,0.911687233,0.546414072,4.375914506,2.52712379,2.022283078,2.706655983,0.848139463,0.014065665,0.011990014,0.004553067,1.17311495,6.099841454,0.226375391,0.585821037,0.533589282,0.337732553,0.134465658,0.347974269,0.316948912,0.200611161,5.16E+04,7.30E+01,5.98E+02
Augmentum01,2025-08-18T09:21:00,Sermilik,5,5,15,St5_15,65.6995,-38.01516667,MW,4.2,29.713,107.7051811,-25.11621123,0.27,2.415,9.238,2090.301555,1938.076195,8.149354808,281.8252087,0.0824,0.093,0.72,0.0106,0.29,0.615094576,-1.560661943,4.460661943,NA,NA,,0.27,0.767867354,0.046368395,0.021873836,0.267234096,0.128419018,0.114781163,1.325714622,0.96484386,0.480548776,3.331820887,1.280240989,0.602662945,6.534758677,1.739260878,0.024946517,0.008739761,0.011665687,2.854370503,,0.210994824,0.081058355,0.098824099,0.136028353,0.400441391,0.153838468,0.187555595,0.258164546,5.02E+04,9.00E+01,5.91E+02
Augmentum01,2025-08-18T09:21:00,Sermilik,5,5,45,St5_45,65.6995,-38.01516667,MW,2.16,31.183,107.743461,-26.25383799,0.27,2.932,0.447,2151.552371,1995.165995,8.164306484,273.0747144,0.4661,0.504,0.816,0.0379,0.354,0.305743434,-2.156526019,5.056526019,157.7,19.59,19.09,0.27,0.651805565,0.054597498,0.029461242,0.354264816,0.195887975,0.14821395,1.328303035,0.954307162,0.552942224,5.056635784,2.628046658,1.557684526,3.459722883,1.407108578,0.01696486,0.006241747,0.007278995,2.717966751,3.851111581,0.304791729,0.075080211,0.157228557,0.125283937,0.460143254,0.113348393,0.23736753,0.189140823,7.31E+04,8.72E+02,6.80E+03
Augmentum01,2025-08-18T10:48:00,Sermilik,6,6,1,St6_1,65.64083333,-38.03216667,MW,5.11,29.289,106.0664452,-19.40670987,0.3,2.604,93.016,2070.890075,1918.941143,8.143037891,286.0967724,0.0937,0.112,0.739,0.0183,0.267,0.615287349,-1.182289266,4.082289266,86.07,6.32,6.21,0.3,0.554678225,0.04755448,0.028445273,0.375398772,0.151398663,0.21017159,2.233256632,0.952005564,0.403300902,3.564943941,1.559336605,1.004817564,3.901973956,1.415383684,0.022698287,0.01693217,0.008928577,1.340542154,4.97453762,0.2075644,0.215954862,0.326638201,0.182701796,0.222503446,0.231497796,0.350147354,0.195851404,7.20E+04,9.91E+02,3.59E+03
Augmentum01,2025-08-18T10:48:00,Sermilik,6,6,15,St6_15,65.64083333,-38.03216667,MW,4.21,29.835,106.6959836,-21.80126242,0.46,2.629,30.052,2095.564559,1943.333383,8.146803502,284.1355032,0.1383,0.157,0.573,0.0187,0.312,0.408064223,-1.842765669,4.742765669,84.96,5.82,5.67,0.46,0.567687752,0.033742138,0.013669376,0.338295809,0.165744766,0.175723966,1.575717339,0.962546818,0.489940348,6.573933425,3.399046141,2.358173176,2.978534548,1.014434559,0.016596459,0.003904303,0.004616835,4.250811694,9.293266908,0.2477155,0.115411394,0.118211909,0.192452537,0.367644232,0.17128655,0.175442903,0.285626314,5.92E+04,6.16E+02,4.84E+02
Augmentum01,2025-08-18T10:48:00,Sermilik,6,6,45,St6_45,65.64083333,-38.03216667,MW,2.57,31.127,106.835368,-22.94757876,0.4,2.969,1.985,2149.754849,1993.081106,8.159424048,276.810556,0.2521,0.276,0.67,0.0239,0.339,0.386115057,-2.144975414,5.044975414,102.97,8.5,8.22,0.4,0.808637258,0.059072082,0.058518808,0.33078571,0.1622292,0.136146632,1.569397522,0.90653702,0.490435937,6.573933425,3.399046069,2.358173245,2.978534656,1.014434571,0.016596458,0.003904304,0.004616835,4.250810555,7.667342727,0.268777728,0.069625742,0.239450154,0.096964757,0.398296394,0.103177009,0.354836443,0.143690154,6.35E+04,6.19E+02,1.23E+03
Augmentum01,2025-08-18T14:42:00,Sermilik,7,7,1,St7_1,65.54883333,-38.07933333,MW,5.22,29.323,107.959097,-25.38806107,0.17,2.626,93.407,2071.703254,1916.329758,8.149884217,281.1376639,0.1209,0.137,0.677,0.0161,0.267,0.52989923,-1.157654288,4.057654288,187.47,24.91,24.77,0.17,0.611653055,0.030967141,0.010403482,0.271667775,0.110879361,0.124651091,1.43405257,0.967973262,0.408143223,3.19130098,1.281962371,0.617304113,5.721390115,0.754340211,0.024141225,0.013354625,0.012095549,1.807705213,2.044461768,0.191952149,0.06034141,0.109195777,0.106364616,0.410282201,0.128974886,0.233397146,0.227345768,2.30E+05,8.66E+02,5.42E+03
Augmentum01,2025-08-18T14:42:00,Sermilik,7,7,15,St7_15,65.54883333,-38.07933333,MW,3.92,29.997,108.0547334,-26.37896918,0.24,2.786,29.548,2101.688077,1946.748158,8.15571736,277.8098817,0.0832,0.097,0.597,0.0138,0.294,0.490403077,-1.618573949,4.518573949,NA ,NA,,0.24,0.762005039,0.041464917,0.014007636,0.305205273,0.140675251,0.112064858,1.22082675,0.958254158,0.460920119,3.252780556,1.197245155,0.440860358,7.567145047,0.997290421,0.026260928,0.016398754,0.016688179,1.601397726,,0.236149467,0.056620152,0.077812096,0.081853934,0.521951503,0.125145205,0.171984891,0.180918401,2.32E+05,3.28E+03,5.59E+03
Augmentum01,2025-08-18T14:42:00,Sermilik,7,7,45,St7_45,65.54883333,-38.07933333,MW,1.45,31.452,106.8572551,-23.6227261,0.32,3.236,1.822,2162.283948,2007.274474,8.167284602,271.162045,0.7177,0.766,1.091,0.0483,0.385,0.318419444,-2.384783019,5.284783019,75.58,4.61,3.84,0.32,0.709819347,0.046963351,0.009138583,0.348033551,0.165585323,0.141443622,1.3762664,0.956715228,0.475774024,3.485988109,1.360790916,0.549592782,6.710538201,0.86728692,0.026736715,0.010325123,0.014556936,2.589481492,5.539391001,0.275562901,0.075833654,0.089455243,0.100486897,0.509039726,0.140085412,0.165248196,0.185626666,2.88E+05,6.92E+03,2.73E+04
Augmentum01,2025-08-18T16:37:00,Sermilik,8,8,1,St8_1,65.40166667,-38.074,MW,5,31.255,107.4746054,-23.62502937,0.3,2.731,80.402,2151.380697,1982.760238,8.150688651,286.5679277,0.1027,0.12,0.433,0.0173,0.289,0.306706998,-1.513445109,4.413445109,77.96,5.28,5.16,0.3,0.800340474,0.032489118,0.018403801,0.291327688,0.123399033,0.109096868,1.577389663,0.973788734,0.423574683,3.285466136,1.141974385,0.413893486,8.558575793,0.599136083,0.028956113,0.018905015,0.019840596,1.531663022,5.061370997,0.223668184,0.058013269,0.09209764,0.090646342,0.481601926,0.124914065,0.198304471,0.195179538,2.20E+05,7.55E+02,3.47E+03
Augmentum01,2025-08-18T16:37:00,Sermilik,8,8,15,St8_15,65.40166667,-38.074,AW,3.69,31.72,108.6027757,-27.96654458,0.47,2.824,11.752,2171.356801,2002.911911,8.162026775,278.3656845,0.093,0.107,0.458,0.014,0.288,0.34382488,-1.508990841,4.408990841,74.04,4.25,4.14,0.47,0.592614688,0.015383722,0.004992126,0.284260254,0.1468966,0.13366282,1.33529731,0.980533868,0.51676799,3.352903137,1.425144483,0.699948764,5.216982539,0.792580217,0.023045273,0.009037822,0.010750842,2.5498701,5.438731318,0.237504799,0.061225801,0.025554462,0.064795579,0.610425639,0.157360183,0.065679089,0.166535089,2.21E+05,7.51E+02,3.13E+03
Augmentum01,2025-08-18T16:37:00,Sermilik,8,8,45,St8_45,65.40166667,-38.074,AW,0.88,32.89,102.8469782,-9.841984362,0.51,4.588,0.405,2220.753562,2067.865624,8.145219368,291.4986346,2.5714,2.677,2.83,0.1056,0.505,0.149742917,-2.387980274,5.287980274,70.51,7.05,4.37,0.51,0.818536074,0.021453463,0,0.346984805,0.174321867,0.142374146,1.280341607,0.991056505,0.502390493,2.980050392,1.186071191,0.403350299,6.880429758,1.502146849,0.025531103,0.01309825,0.018002386,1.949199526,5.07593323,0.268206905,0.081747454,0.080155855,0.061898864,0.545125928,0.166150296,0.162915398,0.125808378,2.24E+05,9.40E+01,2.39E+03
Augmentum01,2025-08-21T08:54:00,Iterdlak,9,9,1,St9_1,60.91283333,-45.31216667,MW,3.22,27.091,106.1291429,-20.87629559,0.1,7.395,51.552,1919.778933,1827.385587,8.038189018,351.1152047,0.4537,0.536,2.301,0.0823,0.263,1.734847246,-0.709268605,3.609268605,215.99,31.93,31.4,0.1,0.363265434,0.250699331,0.084597774,0.959617954,0.626866979,2.154940103,2.937828432,0.887415937,0.653246406,9.759804256,7.660443676,6.49400831,1.355246287,1.162612555,0.003913249,0.000406667,0.001971462,9.622745411,5.426779073,0.229865554,2.338909611,3.34861256,1.566831345,0.030713365,0.312512179,0.447423108,0.209351347,5.39E+05,6.55E+04,4.19E+05
Augmentum01,2025-08-21T09:48:00,Iterdlak,10,10,1,St10_1,60.85115,-45.4803,MW,3.68,30.718,105.5304753,-17.51857159,0.37,4.606,77.795,2096.639618,1955.519062,8.113480048,307.676624,0.2355,0.292,0.938,0.0565,0.251,0.633263264,-0.75057646,3.65057646,110.41,12.86,12.57,0.37,0.437735088,0.361464893,0.139067269,1.064520871,0.482035384,1.516304028,2.503144291,0.849317279,0.452819101,9.136455803,6.831933303,5.625755734,1.699366167,1.252890377,0.002482248,0.002757089,0.002360637,0.900314966,9.938452672,0.234896951,1.955471413,2.537486503,1.472831876,0.037882409,0.315363684,0.409226689,0.237527219,2.62E+05,1.20E+04,2.41E+04
Augmentum01,2025-08-21T09:48:00,Iterdlak,10,10,15,St10_15,60.85115,-45.4803,MW,3.46,31.193,105.5350488,-18.11991349,0.38,3.207,0.472,2120.106382,1974.687236,8.119116115,304.8170065,0.2323,0.284,0.869,0.0517,0.265,0.573264719,-0.976641419,3.876641419,193.19,27.13,26.84,0.38,0.779094738,0.048677514,0.020711542,0.325258358,0.180915091,0.259410143,1.685407255,0.94857157,0.556219652,4.379378169,2.622347946,2.204441613,2.641324345,1.080502241,0.022090583,0.014585173,0.005310481,1.514591731,2.722507137,0.248614185,0.170644082,0.437181412,0.173123824,0.241475328,0.165744106,0.424627923,0.168152643,2.40E+05,2.22E+03,8.10E+03
Augmentum01,2025-08-21T09:48:00,Iterdlak,10,10,45,St10_45,60.85115,-45.4803,AW,1.83,32.132,103.5303559,-18.16767464,0.12,3.26,0.008,2165.258507,2017.447228,8.132737933,295.8775068,0.929,1.093,1.5,0.164,0.396,0.398558802,-2.234259953,5.134259953,123.13,16.8,15.71,0.12,0.604644281,0.036074769,0.00788422,0.287116506,0.132142937,0.162385933,1.933349629,0.977897215,0.460241521,3.00122094,1.381922419,1.08641483,3.95089454,0.45188383,0.018203735,0.017722489,0.008372868,1.027154498,2.927413236,0.200705172,0.106158038,0.112848257,0.115466001,0.375025452,0.19836044,0.210861375,0.215752732,3.11E+05,5.88E+03,1.56E+04
Augmentum01,2025-08-21T13:38:00,Iterdlak,11,11,1,St11_1,60.74883333,-45.6755,MW,5.5,30.512,110.0871437,-11.98214407,1.04,3.209,80.657,2084.936616,1939.723055,8.100198812,318.9867089,0.1308,0.153,0.541,0.0222,0.145,0.380407987,0.775401783,2.124598217,87.02,7.17,7.01,1.04,0.728803936,0.055501036,0.027247026,0.394392648,0.141527574,0.233360128,2.077461627,0.935816045,0.358849423,5.083177605,2.216832,1.343919102,3.827775342,0.731587563,0.019761344,0.00781082,0.007317128,2.52999625,7.015458241,0.234538746,0.183232665,0.443517202,0.303825066,0.201301169,0.157265912,0.380664316,0.260768603,7.11E+04,3.35E+02,2.78E+03
Augmentum01,2025-08-21T13:38:00,Iterdlak,11,11,15,St11_15,60.74883333,-45.6755,MW,4.12,31.152,107.6921383,-31.68091076,0.9,3.089,4.573,2116.940748,1969.296622,8.115637948,307.8557257,0.168,0.197,0.659,0.029,0.206,0.452745857,-0.136925133,3.036925133,,,,0.9,0.790978918,0.036336332,0.024687492,0.284151646,0.151326914,0.18678842,2.019569747,0.949544207,0.532556881,3.330809627,1.639039286,1.025440957,3.58746138,1.392482281,0.01917253,0.010468285,0.007003738,1.8314873,,0.197607993,0.172904847,0.155696971,0.128632709,0.301764145,0.264040348,0.237762464,0.196433043,1.33E+05,1.06E+03,3.27E+03
Augmentum01,2025-08-21T13:38:00,Iterdlak,11,11,45,St11_45,60.74883333,-45.6755,AW,1.95,31.982,102.06116,-24.85196916,0.13,3.269,0.163,2157.861692,2013.974627,8.12301729,302.7990891,1.0722,1.23,1.576,0.1578,0.405,0.338861495,-2.241684538,5.141684538,98.02,10.37,9.14,0.13,0.638563887,0.032469556,0,0.206249544,0.100069059,0.15092178,2.246658499,0.986108352,0.485184388,2.154201549,1.155886486,0.53344029,4.204084383,1.474623218,0.020540711,0.013945835,0.013497844,1.472892178,2.639386792,0.143374728,0.134725624,0.12797859,0.095276551,0.285974184,0.268722744,0.25526516,0.190037912,8.93E+04,3.66E+02,4.08E+03
Augmentum01,2025-08-22T07:53:00,Iterdlak,12,12,1,St12_1,60.70316667,-45.91066667,MW,5.17,30.285,106.2649934,-6.982498047,1.13,3.026,83.759,2074.433686,1936.650502,8.089065571,326.905268,0.1767,0.214,0.734,0.0373,0.178,0.509910689,0.317106243,2.582893757,86.18,8.54,8.33,1.13,0.688253732,0.113584077,0.095104643,0.297441064,0.163516465,0.141327686,1.315286086,0.827919627,0.549744081,3.13745139,1.286630704,0.661105624,6.203189961,11453.10354,0.022586219,0.017275885,0.014130072,1.307384141,4.372212829,0.256171403,0.075251509,0.11013383,0.136179848,0.443405191,0.130252282,0.190629834,0.235712694,1.07E+05,7.00E+03,2.16E+04
Augmentum01,2025-08-22T07:53:00,Iterdlak,12,12,15,St12_15,60.70316667,-45.91066667,MW,5.14,30.304,106.5238463,-19.86501222,1.18,3.03,4.758,2075.917634,1938.834191,8.086625288,328.5911716,0.1463,0.171,0.706,0.0247,0.169,0.524612303,0.416181378,2.483818622,88.71,8.88,8.71,1.18,0.850875196,0.089892208,0.067344816,0.260421138,0.136995113,0.120566144,1.233135067,0.839144434,0.526052202,2.539399746,0.999838462,0.414630486,7.85478353,21.82781911,0.025231681,0.017633662,0.0183058,1.430881473,3.437817832,0.220606982,0.058582257,0.119262373,0.132297777,0.415651881,0.110376494,0.224705625,0.249266,5.33E+04,2.35E+03,8.81E+03
Augmentum01,2025-08-22T07:53:00,Iterdlak,12,12,45,St12_45,60.70316667,-45.91066667,WGSW,2.16,31.908,101.233892,-20.69764912,0.29,3.095,0.046,2154.675014,2014.230424,8.111442626,311.9011139,1.5862,1.699,2.141,0.1128,0.444,0.432904539,-2.393776097,5.293776097,153.63,18.6,16.9,0.29,0.798067964,0.13130547,0.075923284,0.327379788,0.166344314,0.17764817,1.471423688,0.82207681,0.508108074,6.398019421,3.615966564,2.609547191,2.814825565,1.518970458,0.013188206,0.005833354,0.005372427,2.260827197,5.00163708,0.280237123,0.081426084,0.094155569,0.157721818,0.456754004,0.132715072,0.153462656,0.257068268,2.38E+04,4.37E+02,3.98E+03
Augmentum01,2025-08-22T09:11:00,Iterdlak,13,13,1,St13_1,60.694,-46.11233333,MW,6.36,29.467,107.7406838,-4.16030138,1.08,2.902,84.141,2034.067253,1903.825282,8.064742526,344.8719987,0.118,0.142,0.717,0.024,0.119,0.564184607,1.171142127,1.728857873,77.68,5.85,5.71,1.08,0.685066029,0.063260698,0.070215293,0.30101601,0.15785436,0.12656459,1.202322844,0.880789019,0.524405198,3.957426246,1.789305323,0.900585122,5.381774938,3.144516384,0.02122043,0.01201551,0.01250676,1.766086496,6.118729626,0.252747273,0.067548556,0.102182317,0.120718899,0.465295744,0.124353688,0.1881128,0.222237768,3.31E+04,6.03E+02,5.53E+03
Augmentum01,2025-08-22T09:11:00,Iterdlak,13,13,15,St13_15,60.694,-46.11233333,MW,5.32,30.447,108.3319322,-24.0099087,1.31,2.843,5.814,2082.526428,1941.636743,8.0915948,325.2464921,0.1154,0.134,0.716,0.0186,0.207,0.570639427,-0.215965808,3.115965808,75.95,5.48,5.35,1.31,0.924251502,0.056876274,0.066860016,0.307304234,0.153706931,0.128701556,1.222161418,0.882995544,0.500178369,3.065641072,1.286176348,0.496261196,8.104507338,24.00845522,0.034530486,0.019745693,0.022980118,1.748760376,4.84763294,0.26122309,0.063642212,0.100413168,0.098940835,0.498308795,0.121403793,0.191548016,0.188739396,3.21E+04,5.59E+02,5.40E+03
Augmentum01,2025-08-22T09:11:00,Iterdlak,13,13,45,St13_45,60.694,-46.11233333,WGSW,2.7,31.648,103.6171551,-26.29294513,0.55,2.954,0.188,2141.282811,1998.292617,8.114790594,308.420463,0.9155,0.973,1.476,0.0575,0.373,0.492743931,-1.993152958,4.893152958,87.3,8.79,7.82,0.55,0.69574225,0.059122232,0.061344029,0.305288002,0.157216706,0.127537127,1.47195244,0.883052732,0.514978332,2.839743889,1.124714974,0.570800915,6.782506651,1.458050875,0.023506485,0.017565925,0.012934195,1.338186585,3.906751916,0.256378861,0.062180917,0.1355015,0.112472878,0.452539107,0.109756696,0.239176224,0.198527974,7.48E+04,4.28E+03,1.56E+04
Augmentum01,2025-08-22T13:21:00,Iterdlak,14,14,1,St14_1,60.64383333,-46.25516667,MW,6.48,29.589,107.9615185,-12.05615216,0.31,2.897,85.922,2039.556209,1907.885987,8.064731568,345.6026767,0.121,0.137,0.702,0.016,0.104,0.554322705,1.401857043,1.498142957,70.4,6.1,5.96,0.31,0.532687831,0.13275526,0.08692328,0.439038265,0.32123322,0.782272432,2.556372143,0.844685979,0.731674766,6.754117115,3.614678371,2.541821343,1.869380461,1.274632546,0.022000601,0.004337798,0.00459814,5.071836091,11.52160878,0.272443601,0.491110522,2.156565753,1.16799358,0.066642867,0.120131334,0.527521013,0.285704786,2.96E+04,4.36E+02,4.44E+03
